cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles,snapshot_num
0.100208,0.135409,0.0,0.7400394360788426,0.2599605639211574,snapshot_55.xyz,32,10000,55
0.0979594,0.132531,0.0,0.7391432947763165,0.26085670522368354,snapshot_56.xyz,32,10000,56
0.100984,0.135675,0.0,0.7443080891837112,0.25569191081628884,snapshot_57.xyz,32,10000,57
0.100295,0.134802,0.0,0.7440171510808444,0.25598284891915557,snapshot_58.xyz,32,10000,58
0.101994,0.134995,0.0,0.75553909404052,0.24446090595948,snapshot_59.xyz,32,10000,59
0.101633,0.137015,0.0,0.7417655001277232,0.25823449987227676,snapshot_60.xyz,32,10000,60
0.0994922,0.133424,0.0,0.7456844345844826,0.25431556541551736,snapshot_61.xyz,32,10000,61
0.0997806,0.132742,0.0,0.75168823733257,0.24831176266743005,snapshot_62.xyz,32,10000,62
0.101689,0.135562,0.0,0.7501290922234846,0.24987090777651544,snapshot_63.xyz,32,10000,63
0.100896,0.135339,0.0,0.7455057300556381,0.25449426994436186,snapshot_64.xyz,32,10000,64
0.0999677,0.133884,0.0,0.7466739864360192,0.25332601356398077,snapshot_65.xyz,32,10000,65
0.0993361,0.134072,0.0,0.7409160749448057,0.2590839250551943,snapshot_66.xyz,32,10000,66
0.0999781,0.134974,0.0,0.740721175930179,0.25927882406982095,snapshot_67.xyz,32,10000,67
0.0992031,0.134416,0.0,0.738030442804428,0.261969557195572,snapshot_68.xyz,32,10000,68
0.101742,0.13617,0.0,0.7471689799515311,0.2528310200484689,snapshot_69.xyz,32,10000,69
0.102171,0.136796,0.0,0.7468858738559607,0.2531141261440393,snapshot_70.xyz,32,10000,70
0.104393,0.136662,0.0,0.7638773031274239,0.23612269687257614,snapshot_71.xyz,32,10000,71
0.0994438,0.135671,0.0,0.7329775707409836,0.2670224292590164,snapshot_72.xyz,32,10000,72
0.0997658,0.135304,0.0,0.7373455330219357,0.26265446697806427,snapshot_73.xyz,32,10000,73
0.103035,0.13588,0.0,0.7582793641448337,0.24172063585516634,snapshot_74.xyz,32,10000,74
0.104198,0.139186,0.0,0.7486241432327964,0.25137585676720364,snapshot_75.xyz,32,10000,75
0.105984,0.140591,0.0,0.7538462632743206,0.24615373672567942,snapshot_76.xyz,32,10000,76
0.106023,0.138539,0.0,0.7652935274543631,0.23470647254563692,snapshot_77.xyz,32,10000,77
0.107902,0.140182,0.0,0.7697279251259077,0.2302720748740923,snapshot_78.xyz,32,10000,78
0.113296,0.143063,0.0,0.7919308276773169,0.20806917232268307,snapshot_79.xyz,32,10000,79
0.107498,0.141533,0.0,0.7595260469289847,0.24047395307101527,snapshot_80.xyz,32,10000,80
0.106188,0.140789,0.0,0.7542350609777753,0.24576493902222474,snapshot_81.xyz,32,10000,81
0.105855,0.138589,0.0,0.7638052082055575,0.23619479179444247,snapshot_82.xyz,32,10000,82
0.100572,0.137114,0.0,0.73349183890777,0.26650816109222997,snapshot_83.xyz,32,10000,83
0.10105,0.13583,0.0,0.7439446366782007,0.25605536332179935,snapshot_84.xyz,32,10000,84
0.0988194,0.136407,0.0,0.7244452264179991,0.27555477358200087,snapshot_85.xyz,32,10000,85
0.0988194,0.135533,0.0,0.7291168940405659,0.2708831059594341,snapshot_86.xyz,32,10000,86
0.122048,0.152419,0.0,0.8007400652149667,0.19925993478503334,snapshot_87.xyz,32,10000,87
0.129372,0.155747,0.0,0.8306548440740431,0.1693451559259569,snapshot_88.xyz,32,10000,88
0.136497,0.160056,0.0,0.8528077672814515,0.14719223271854853,snapshot_89.xyz,32,10000,89
0.140986,0.162489,0.0,0.867664888084732,0.13233511191526803,snapshot_90.xyz,32,10000,90
0.143776,0.164787,0.0,0.8724960100007889,0.1275039899992111,snapshot_91.xyz,32,10000,91
0.143087,0.162709,0.0,0.8794043353471535,0.12059566465284655,snapshot_92.xyz,32,10000,92
0.142419,0.163841,0.0,0.869251286308067,0.13074871369193297,snapshot_93.xyz,32,10000,93
0.139556,0.161406,0.0,0.8646270894514455,0.1353729105485545,snapshot_94.xyz,32,10000,94
0.142318,0.16368,0.0,0.869489247311828,0.13051075268817203,snapshot_95.xyz,32,10000,95
0.141878,0.162775,0.0,0.8716203348180003,0.12837966518199972,snapshot_96.xyz,32,10000,96
0.141097,0.162274,0.0,0.8694985025327533,0.1305014974672467,snapshot_97.xyz,32,10000,97
0.140317,0.161099,0.0,0.8709985785138331,0.1290014214861669,snapshot_98.xyz,32,10000,98
0.141037,0.162349,0.0,0.8687272480889935,0.1312727519110065,snapshot_99.xyz,32,10000,99
0.140452,0.162228,0.0,0.8657691643859259,0.13423083561407412,snapshot_100.xyz,32,10000,100
0.13917,0.161958,0.0,0.8592968547401177,0.14070314525988226,snapshot_101.xyz,32,10000,101
0.141404,0.162771,0.0,0.8687296877207856,0.13127031227921437,snapshot_102.xyz,32,10000,102
0.143318,0.164136,0.0,0.87316615489594,0.12683384510406004,snapshot_103.xyz,32,10000,103
0.141676,0.16324,0.0,0.8679000245037981,0.1320999754962019,snapshot_104.xyz,32,10000,104
0.143333,0.164674,0.0,0.8704045568820822,0.12959544311791782,snapshot_105.xyz,32,10000,105
0.139906,0.161755,0.0,0.8649253500664585,0.13507464993354146,snapshot_106.xyz,32,10000,106
0.143191,0.164609,0.0,0.8698856077128225,0.13011439228717747,snapshot_107.xyz,32,10000,107
0.137008,0.16175,0.0,0.8470355486862441,0.1529644513137559,snapshot_108.xyz,32,10000,108
0.141314,0.161883,0.0,0.872939097990524,0.12706090200947595,snapshot_109.xyz,32,10000,109
